a,b,sse,sae,0.01,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.99
-21.052587743523347,-14.615766720622545,3206983.87719986,9915.828976954628,0,0,0,0,0,0,0,0,0,2,12
25.445719486571335,76.94132890591217,3211401.6765354034,9839.234511970093,0,0,0,0,0,0,0,0,0,0,11
-20.61728992802969,-50.57314313179151,3213015.5320458245,9868.423745863249,0,0,0,0,0,0,0,0,0,1,13
26.165104310131454,22.382613181946994,3221956.1776926517,9952.726423437158,0,0,0,0,0,0,0,0,0,0,15
25.805444265449324,60.781511390304786,3227579.345829633,9907.361482847547,0,0,0,0,0,0,0,0,0,0,13
-19.791020544239785,-87.62529988758645,3234940.6779403607,9786.035916684192,0,0,0,0,0,0,0,0,0,0,10
25.576690543701346,82.19943012102931,3276427.549993376,9927.685752677353,0,0,0,0,0,0,0,0,0,0,15
26.424532720345468,-1.1203349531841127,3289679.214552846,10058.424077498279,0,0,0,0,0,0,0,0,0,0,10
-20.111986705919335,-99.293995088549,3415704.3158687674,10019.440638164673,0,0,0,0,0,0,0,0,0,0,0
-20.859475757789994,93.91583113099759,3427756.351519581,10125.0769270953,0,0,0,0,0,0,0,0,0,0,11
25.299217228413355,-96.20804055465439,3437494.721442246,10066.559256357232,0,0,0,0,0,0,0,0,0,0,15
26.670571941416,67.99581762055806,3496103.7517428994,10301.595871849015,0,0,0,0,0,0,0,0,0,0,10
-22.078770332755454,38.14693763503698,3502456.862057279,10361.366811996893,0,0,0,0,0,0,0,0,0,0,12
26.895136469460937,-37.752101229372734,3505620.320251018,10337.423347922791,0,0,0,0,0,0,0,0,0,0,12
26.779834547931628,65.73120865099108,3515745.1304092165,10335.50754609865,0,0,0,0,0,0,0,0,0,0,11
26.413464013240386,-66.60473549196963,3516799.705967235,10285.926465845865,0,0,0,0,0,0,0,0,0,0,13
27.24180061306363,-3.878636679564252,3520579.674681353,10404.43489416629,0,0,0,0,0,0,0,0,0,0,20
26.373096458768458,-72.60444619983949,3544398.6874231487,10311.454478576401,0,0,0,0,0,0,0,0,0,0,8
-21.353259801399062,-73.8153688232388,3547127.5359449442,10311.837580733492,0,0,0,0,0,0,0,0,0,0,8
-22.33340317812886,-28.65414401619124,3597977.2399843284,10493.324960506437,0,0,0,0,0,0,0,0,0,0,8
-21.31855824638886,-93.99407854275721,3691357.124025929,10454.370005440356,0,0,0,0,0,0,0,0,0,0,6
