a,b,c,d,e,sse,sae,2,4,8,16,32,64,128,250,500,1000
-2.0502081279028204,66.33981638317654,4.206190463452447,4.913565530087077,-0.4818043748724241,41331311021.06628,679386.5915069757,11,36,29,27,13,8,0,0,0,0
0.7106280860556025,87.18138723618281,-0.16433867855313888,-3.1409815382699877,0.5121507584930463,41335724029.26806,742507.853238209,21,24,26,25,13,3,0,0,0,0
0.8023733067403214,31.68160761248277,-0.5319355327113504,0.9858765528529654,0.5410882175636349,41507842048.74997,779928.7516220323,18,31,42,63,66,28,15,1,0,0
-1.179631025605803,1.4312698732366886,-3.8730176326616217,0.07981665173422847,-0.5317464148133073,41710153699.52021,791091.548361622,27,31,40,72,60,43,5,0,0,0
-3.789712133012495,67.63120424701077,4.456907180866873,-4.411318758048575,-0.5123912700159394,43512727569.64894,719165.4886113411,14,25,28,25,14,4,0,1,0,0
-2.532213187289859,60.55350904715036,-1.4000654173059002,-4.910465665681584,0.48812948735330597,43608908590.892075,705253.9870265205,15,25,22,25,17,5,0,0,0,0
-0.6353674173722856,76.89747385334904,2.5166038265603063,0.5265407998553338,-0.5657350979328175,43936872160.20105,801315.6644628361,17,31,33,37,26,3,2,0,0,0
-0.5412055045389943,53.129164433820115,3.5073238402255242,2.600131457239666,-0.5583311828483257,45136737993.28365,786097.6082168082,15,27,47,38,41,37,3,0,0,0
-4.967746771509203,18.471285156930243,-0.05525733806656419,3.3742103620068686,-0.539878278853335,45988169012.669525,780603.0040370744,16,26,47,62,54,39,9,0,0,0
-1.0770877258798004,94.02666496627147,-3.070853087233835,1.171032657451704,-0.5658446180109369,47129434969.645615,832789.1934333735,15,21,28,25,17,0,2,0,0,0
1.7534301770265692,82.7525113629279,-1.1985277232392266,-4.306597801246616,0.5304499807990286,47299437918.02027,764258.8965651367,12,22,26,17,10,1,0,0,0,0
-0.9152529827591325,23.484533388125076,1.069222611841436,-4.267696380495981,-0.5337964805963411,47611807313.69986,767436.4114567398,23,22,42,34,39,15,3,0,0,0
-1.6592017786428883,44.92076454344827,2.146721400897807,-1.3392962146608478,-0.5840783892046026,47783653775.64096,830914.0100112825,25,18,40,58,48,36,8,0,0,0
-2.181799390562642,76.36051589870131,-0.7409155651997228,-1.493572667227169,-0.5784316879995473,48448391293.88024,838316.2649095869,14,24,32,35,16,5,0,0,0,0
3.6760356236583664,-0.63766545616933,-2.170496052276929,-1.9289663073065788,0.5831065426392126,48468836588.50355,830125.7376451079,20,29,44,58,62,35,4,2,0,0
