a,b,sse,sae,2,4,8,16,32,64,128,250,500,1000
2.8691969750527875,-56.64062428005943,177438.75256358084,2691.2655954824363,25,25,50,57,59,66,20,3,0,0
1.8310435963032887,-56.63340564555788,179186.16672807708,2690.969631467872,19,30,48,71,72,49,31,2,0,0
5.364194265363011,-47.7912850690545,179323.9669046773,2329.4278883076463,13,20,52,79,99,85,47,12,1,0
7.279759561865134,-26.14958552068694,181791.85028676386,2267.076263329213,22,29,63,96,133,155,125,53,6,0
6.613943771123786,54.83668971410458,183287.9085221286,2239.059669508055,23,40,76,103,136,165,146,62,4,0
-0.4723357194856419,-48.117710329061644,184471.38123497393,2346.4841316128295,15,32,58,95,110,140,76,27,2,0
-2.51625765992722,-22.679393880029778,185581.6506887174,2307.977515892876,21,30,68,103,158,213,188,105,10,0
0.10989910265703884,70.80352668089594,189396.93471705788,2533.9445939167335,12,20,46,84,90,73,35,5,0,0
3.6585653283731006,76.79507222553181,196147.69512008957,2779.597961246805,10,31,35,67,61,55,13,4,0,0
-3.0886315775709505,39.48240010278815,217372.5340594698,2514.87271638334,21,38,43,88,125,135,86,35,3,0
4.995786955891219,-58.78967802597694,224167.24583907987,2779.3767990650545,18,29,41,56,53,47,12,0,0,0
-3.229889977477413,-22.521414028317025,229191.1899800655,2581.392645527678,21,30,59,88,168,164,118,34,2,0
-1.6567918532793442,66.92262975459204,236737.26480113948,2553.227464454469,20,29,49,89,88,78,29,4,0,0
0.7874617587428645,83.77388529185896,246070.6894746321,3065.7292969662176,12,31,37,46,50,29,4,0,0,0
9.006118133144312,-7.580899067469545,254243.72472165397,2776.4374024590925,18,41,61,111,130,148,80,38,1,0
5.350335138958556,80.97749430539545,259045.26286696477,2951.0772665212144,13,37,53,56,60,40,8,0,0,0
-1.1876561429443626,-57.646522039083095,260169.2718322825,2753.5584945957353,17,31,51,63,93,62,34,2,0,0
-4.245075112564621,-4.29353088631666,268392.6961939994,2859.321989710961,20,39,66,99,150,170,125,43,3,0
8.755918497326405,-25.480365740744816,273388.3237336311,2819.0922371054908,19,30,59,77,105,99,52,8,0,0
-2.501851698620584,-48.03427683020165,276975.56525737053,2752.3216562973666,16,24,46,71,94,97,41,9,0,0
-2.5675516161248595,67.7149414993631,288748.8742194136,2809.898519929311,13,36,55,86,82,58,24,1,0,0
1.6485696333844402,97.14259035779392,322694.88489543635,3613.8462046695518,16,24,26,23,24,8,1,0,0,0
0.09310568825802079,-75.68887207403499,327313.03208818537,3472.2437550354352,18,37,50,41,25,9,4,0,0,0
6.842049782520164,-64.28380561922273,328409.6576491677,3060.9889532473335,18,33,42,45,43,37,12,0,0,0
1.9332454479292096,-80.38953046758282,329453.76399177307,3664.970749170896,24,20,44,26,17,12,1,0,0,0
-1.1291557450898893,-70.05245423660739,331821.13931702985,3241.150623700903,9,23,45,50,45,22,6,0,0,0
-4.719028241738201,44.668793072118916,351299.2514218661,3208.630434344351,13,24,49,90,86,67,37,2,0,0
9.00995503742017,60.873913069905825,353585.430886743,3147.7323296695295,13,28,49,66,87,82,26,6,0,0
6.579020270838896,-70.65519754117028,355647.4228715471,3269.713514939196,19,28,36,53,38,18,4,0,0,0
10.364608852349491,-7.813030518100788,366620.69338191196,3340.013217463193,16,35,60,97,113,77,41,4,0,0
5.83661916438831,95.80196373482198,372821.39478953293,3558.8805131277013,17,30,31,28,22,11,0,1,0,0
-1.8774017410415667,-74.06427752884818,392874.4903111693,3414.815604368625,18,30,35,51,32,20,7,0,0,0
0.25878042721960526,-89.41403329465605,425930.59401758446,4034.975365080898,15,25,27,31,19,2,0,0,0,0
-6.135383907978323,0.9340386564680898,430698.41809531074,3634.9272026944277,18,31,67,84,104,86,35,4,0,0
11.196199796669276,16.457564210487604,436361.3596087064,3659.8614788115833,17,30,36,76,98,88,34,2,0,0
